Date,Open,High,Low,Close,Volume
12/30/2021,"57.75","58.74","57.53","58.40","24,559,000"
12/29/2021,"57.31","58.03","57.07","57.58","26,170,221"
12/28/2021,"59.05","59.45","57.08","58.01","36,901,699"
12/27/2021,"58.85","59.38","58.23","59.20","27,362,580"
12/23/2021,"59.82","60.08","58.31","58.71","39,203,199"
12/22/2021,"59.25","60.59","58.22","59.55","62,594,922"
12/21/2021,"60.01","60.04","57.16","58.95","63,877,879"
12/20/2021,"60.60","61.71","59.83","61.02","55,712,219"
12/17/2021,"59.93","61.19","58.70","59.48","104,320,203"
12/16/2021,"58.36","61.43","57.75","61.25","75,183,648"
12/15/2021,"56.11","58.92","55.89","58.80","75,202,914"
12/14/2021,"54.77","55.95","54.32","55.54","48,685,672"
12/13/2021,"53.44","55.73","53.44","55.20","54,923,238"
12/10/2021,"51.20","52.85","51.11","52.78","26,079,359"
12/09/2021,"51.51","52.85","51.51","52.08","38,325,660"
12/08/2021,"52.75","53.08","51.03","51.40","37,429,199"
12/07/2021,"51.25","52.50","50.40","51.72","41,575,441"
12/06/2021,"53.78","53.89","51.25","51.48","53,723,980"
12/03/2021,"53.71","54.41","53.10","54.27","37,574,770"
12/02/2021,"53.82","55.08","52.77","53.04","46,361,738"
12/01/2021,"52.47","55.17","51.86","54.68","59,849,359"
11/30/2021,"52.31","54.46","51.91","53.73","64,598,391"
11/29/2021,"55.15","55.70","52.11","52.40","72,660,758"
11/26/2021,"54.04","54.94","53.25","54.00","66,561,297"
11/24/2021,"51.18","51.33","50.71","50.89","18,556,750"
11/23/2021,"50.58","51.45","50.30","51.08","24,952,590"
11/22/2021,"50.95","51.47","50.38","51.20","27,287,939"
11/19/2021,"51.96","52.84","50.68","50.80","47,966,180"
11/18/2021,"51.10","51.71","50.61","51.41","32,872,570"
11/17/2021,"49.94","51.09","49.69","50.87","36,889,770"
11/16/2021,"49.47","50.16","48.89","49.60","31,297,221"
11/15/2021,"49.73","50.10","49.37","49.65","27,763,221"
11/12/2021,"50.42","50.49","49.57","49.73","27,780,570"
11/11/2021,"49.23","50.50","48.73","50.18","42,370,391"
11/10/2021,"47.40","49.21","47.40","49.02","42,696,199"
11/09/2021,"48.33","48.38","47.15","47.30","29,920,439"
11/08/2021,"48.61","48.79","47.60","48.33","57,423,273"
11/05/2021,"48.09","48.81","46.55","48.61","173,959,109"
11/04/2021,"44.29","44.47","43.31","43.85","38,172,539"
11/03/2021,"45.52","45.99","44.48","44.82","44,593,141"
11/02/2021,"45.08","46.04","43.05","45.45","69,247,984"
11/01/2021,"44.14","44.29","43.44","43.64","32,681,520"
10/29/2021,"43.09","43.83","42.86","43.74","30,307,490"
10/28/2021,"42.95","43.67","42.94","43.18","18,023,410"
10/27/2021,"43.46","43.56","42.68","42.97","22,317,480"
10/26/2021,"43.33","43.76","42.92","43.56","29,729,051"
10/25/2021,"43.20","43.24","42.57","43.15","22,846,240"
10/22/2021,"42.82","43.19","42.63","43.16","17,183,010"
10/21/2021,"43.06","43.09","42.43","42.86","22,142,320"
10/20/2021,"42.12","43.11","42.10","42.80","22,788,279"
10/19/2021,"41.60","42.20","41.54","42.09","17,159,789"
10/18/2021,"41.45","41.70","41.04","41.32","21,732,990"
10/15/2021,"41.90","42.03","41.38","41.49","23,550,340"
10/14/2021,"41.56","41.96","41.52","41.67","17,590,311"
10/13/2021,"41.75","41.91","40.94","41.42","28,205,721"
10/12/2021,"42.16","42.21","41.66","41.85","16,222,300"
10/11/2021,"42.45","42.62","42.01","42.06","11,984,160"
10/08/2021,"42.73","42.91","42.34","42.45","12,778,600"
10/07/2021,"42.52","42.96","42.21","42.74","19,778,301"
10/06/2021,"42.06","42.20","41.69","42.02","30,483,840"
10/05/2021,"42.53","42.79","42.28","42.32","19,342,561"
10/04/2021,"42.93","43.35","42.21","42.42","28,906,551"
10/01/2021,"42.52","43.10","41.70","42.93","38,483,000"
09/30/2021,"43.79","44.05","42.97","43.01","21,112,580"
09/29/2021,"43.22","43.69","43.08","43.53","18,037,240"
09/28/2021,"43.07","43.28","42.43","43.04","28,512,221"
09/27/2021,"43.92","44.13","43.51","43.57","19,955,900"
09/24/2021,"44.07","44.41","43.81","43.94","16,150,750"
09/23/2021,"44.28","44.72","44.15","44.19","19,719,170"
09/22/2021,"43.99","44.39","43.83","43.95","22,616,740"
09/21/2021,"44.25","44.73","43.85","43.92","23,645,590"
09/20/2021,"43.39","44.65","43.39","44.20","41,873,020"
09/17/2021,"44.17","44.46","43.31","43.89","56,420,688"
09/16/2021,"44.88","44.99","44.03","44.47","22,424,170"
09/15/2021,"44.56","45.37","44.47","44.77","28,674,631"
09/14/2021,"44.67","45.26","44.55","44.71","24,100,221"
09/13/2021,"45.74","45.83","44.20","44.58","37,086,230"
09/10/2021,"46.27","46.35","45.51","45.59","20,801,500"
09/09/2021,"46.47","46.72","45.85","46.03","21,695,320"
09/08/2021,"46.51","46.79","46.25","46.51","15,839,630"
09/07/2021,"46.99","47.50","46.54","46.75","26,236,850"
09/03/2021,"46.90","47.03","46.34","46.84","20,834,760"
09/02/2021,"46.48","46.87","46.13","46.84","26,149,359"
09/01/2021,"46.19","46.26","45.42","46.04","32,900,109"
08/31/2021,"46.72","47.14","45.93","46.07","34,547,832"
08/30/2021,"46.20","47.16","46.16","46.76","25,774,350"
08/27/2021,"47.37","47.50","46.53","46.60","32,924,520"
08/26/2021,"47.70","48.16","47.30","47.38","29,029,320"
08/25/2021,"48.04","48.28","46.93","47.51","51,036,770"
08/24/2021,"49.74","50.05","48.24","48.38","52,624,047"
08/23/2021,"50.29","51.36","49.60","49.93","88,652,383"
08/20/2021,"48.98","49.73","48.66","48.72","35,157,539"
08/19/2021,"48.50","49.96","48.26","48.80","57,741,566"
08/18/2021,"50.23","51.86","49.17","49.31","88,597,984"
08/17/2021,"48.78","50.49","48.71","50.42","68,816,992"
08/16/2021,"48.23","48.97","47.51","48.91","38,098,078"
08/13/2021,"47.41","48.50","47.32","48.48","35,379,191"
08/12/2021,"46.50","47.40","46.34","47.24","29,710,230"
08/11/2021,"47.78","48.08","46.26","46.31","50,878,191"
08/10/2021,"46.20","48.57","45.89","48.19","81,189,406"
08/09/2021,"45.11","46.03","45.11","45.98","32,374,260"
08/06/2021,"45.09","45.31","44.63","45.07","20,413,039"
08/05/2021,"45.00","45.14","44.70","45.06","23,505,420"
08/04/2021,"45.35","45.80","45.01","45.19","43,391,238"
08/03/2021,"44.17","45.86","44.07","45.68","45,643,262"
08/02/2021,"43.30","44.14","43.25","43.96","43,066,941"
07/30/2021,"42.88","43.19","42.69","42.81","24,763,340"
07/29/2021,"43.23","43.30","42.62","42.79","29,015,020"
07/28/2021,"42.35","43.74","42.25","43.45","53,822,449"
07/27/2021,"41.82","42.20","41.58","42.10","32,544,070"
07/26/2021,"41.62","41.94","41.39","41.81","23,720,029"
07/23/2021,"41.46","41.83","41.42","41.68","21,609,211"
07/22/2021,"41.12","41.55","40.90","41.47","18,913,311"
07/21/2021,"41.24","41.24","40.52","41.02","27,530,230"
07/20/2021,"40.25","41.71","40.20","41.05","48,804,129"
07/19/2021,"40.07","40.35","39.68","40.15","29,818,359"
07/16/2021,"40.14","40.35","39.93","40.35","24,270,381"
07/15/2021,"39.95","40.19","39.86","40.09","20,250,801"
07/14/2021,"39.72","40.03","39.66","39.95","15,888,560"
07/13/2021,"39.77","39.80","39.53","39.65","12,222,050"
07/12/2021,"39.66","40.25","39.60","39.76","24,512,949"
07/09/2021,"39.53","40.10","39.46","39.61","21,578,730"
07/08/2021,"39.00","39.32","38.93","39.25","23,021,180"
07/07/2021,"39.22","39.36","38.97","39.35","17,665,150"
07/06/2021,"39.48","39.65","39.04","39.29","18,931,869"
07/02/2021,"39.46","39.83","39.38","39.73","16,595,891"
07/01/2021,"39.17","39.63","39.11","39.56","20,035,910"
06/30/2021,"39.14","39.27","38.82","39.16","21,248,070"
06/29/2021,"39.13","39.29","38.98","39.10","14,516,570"
06/28/2021,"39.01","39.21","38.90","39.12","19,225,689"
06/25/2021,"39.12","39.41","38.89","38.98","22,774,350"
06/24/2021,"39.14","39.35","39.08","39.19","13,436,550"
06/23/2021,"39.63","39.66","38.98","39.05","22,025,359"
06/22/2021,"39.41","39.69","39.26","39.61","15,975,950"
06/21/2021,"38.88","39.48","38.88","39.42","19,488,051"
06/18/2021,"39.30","39.44","38.70","38.81","37,775,910"
06/17/2021,"39.27","39.59","39.07","39.48","19,580,119"
06/16/2021,"39.62","39.84","39.28","39.30","19,177,551"
06/15/2021,"39.71","39.84","39.39","39.59","20,206,869"
06/14/2021,"40.03","40.07","39.38","39.63","23,408,340"
06/11/2021,"40.66","40.67","39.95","40.15","21,386,920"
06/10/2021,"39.90","40.72","39.89","40.68","42,613,727"
06/09/2021,"39.00","39.84","38.98","39.81","29,823,961"
06/08/2021,"39.07","39.11","38.48","38.85","18,880,311"
06/07/2021,"39.08","39.60","38.97","38.99","24,110,730"
06/04/2021,"39.05","39.50","39.02","39.15","19,375,320"
06/03/2021,"38.76","39.04","38.63","38.97","17,376,289"
06/02/2021,"38.64","38.93","38.54","38.79","19,629,039"
06/01/2021,"38.94","39.00","38.48","38.50","23,642,430"
05/28/2021,"38.75","39.02","38.68","38.73","16,160,960"
05/27/2021,"38.97","39.18","38.60","38.65","38,471,246"
05/26/2021,"39.29","39.30","38.78","38.92","28,036,449"
05/25/2021,"39.82","39.86","39.24","39.33","25,916,301"
05/24/2021,"40.08","40.14","39.78","39.81","16,922,320"
05/21/2021,"40.21","40.60","39.91","39.95","21,144,779"
05/20/2021,"39.73","40.25","39.72","40.12","18,621,080"
05/19/2021,"39.90","39.90","39.43","39.83","20,209,529"
05/18/2021,"40.18","40.35","39.83","40.05","15,805,530"
05/17/2021,"40.07","40.40","40.01","40.11","18,084,740"
05/14/2021,"40.24","40.32","39.92","40.02","18,041,051"
05/13/2021,"39.50","40.28","39.50","40.10","25,423,779"
05/12/2021,"39.44","39.92","39.31","39.69","26,208,609"
05/11/2021,"39.68","40.07","39.23","39.35","30,568,570"
05/10/2021,"39.83","40.28","39.78","39.86","30,831,869"
05/07/2021,"39.05","39.87","39.05","39.58","33,807,762"
05/06/2021,"38.48","39.23","37.96","39.19","54,944,941"
05/05/2021,"40.18","41.09","38.93","39.97","76,626,289"
05/04/2021,"40.00","40.17","39.43","39.95","52,802,168"
05/03/2021,"39.04","39.84","38.96","39.83","46,638,578"
04/30/2021,"38.50","38.90","38.49","38.65","28,413,180"
04/29/2021,"38.99","39.00","38.31","38.60","23,569,410"
04/28/2021,"38.54","38.94","38.52","38.81","21,963,320"
04/27/2021,"38.51","38.61","38.35","38.45","19,061,461"
04/26/2021,"38.73","38.74","38.49","38.68","19,773,359"
04/23/2021,"38.63","38.83","38.43","38.66","24,389,820"
04/22/2021,"39.48","39.50","38.52","38.64","33,373,609"
04/21/2021,"39.14","39.67","39.13","39.53","29,364,990"
04/20/2021,"38.75","39.24","38.75","39.03","26,459,369"
04/19/2021,"38.60","38.96","38.33","38.93","30,905,061"
04/16/2021,"37.87","38.70","37.81","38.57","52,829,480"
04/15/2021,"37.26","37.74","37.26","37.60","24,945,789"
04/14/2021,"37.17","37.38","36.96","37.17","23,842,891"
04/13/2021,"37.41","37.65","36.89","37.16","33,967,422"
04/12/2021,"36.48","37.04","36.33","36.97","29,944,900"
04/09/2021,"35.90","36.81","35.90","36.60","31,686,711"
04/08/2021,"35.96","36.15","35.87","35.96","18,129,439"
04/07/2021,"36.03","36.24","35.76","35.91","21,933,830"
04/06/2021,"36.26","36.40","36.00","36.05","20,722,930"
04/05/2021,"36.44","36.57","36.10","36.28","22,096,891"
04/01/2021,"36.30","36.45","36.02","36.30","21,319,859"
03/31/2021,"36.15","36.43","36.04","36.23","26,582,689"
03/30/2021,"36.59","36.63","36.02","36.11","26,303,301"
03/29/2021,"36.03","36.74","35.90","36.62","27,004,770"
03/26/2021,"35.68","36.29","35.64","36.25","27,944,461"
03/25/2021,"35.65","35.79","35.25","35.67","24,875,301"
03/24/2021,"35.48","35.93","35.37","35.61","22,883,391"
03/23/2021,"35.82","35.93","35.32","35.36","27,970,480"
03/22/2021,"35.48","36.01","35.36","36.00","25,427,461"
03/19/2021,"35.75","35.82","35.47","35.53","48,348,879"
03/18/2021,"35.53","35.97","35.52","35.77","24,729,770"
03/17/2021,"35.83","35.96","35.12","35.79","42,540,078"
03/16/2021,"35.47","35.86","35.31","35.83","25,022,391"
03/15/2021,"35.01","35.43","34.96","35.41","21,926,051"
