Date,Open,High,Low,Close,Volume
12/31/2021,"58.85","59.80","57.07","59.05","143,573,119"
12/23/2021,"60.60","61.71","57.16","58.71","221,388,219"
12/17/2021,"53.44","61.43","53.44","59.48","358,315,675"
12/10/2021,"53.78","53.89","50.40","52.78","197,133,639"
12/03/2021,"55.15","55.70","51.86","54.27","281,045,016"
11/26/2021,"50.95","54.94","50.30","54.00","137,358,576"
11/19/2021,"49.73","52.84","48.89","50.80","176,788,962"
11/12/2021,"48.61","50.50","47.15","49.73","200,190,872"
11/05/2021,"44.14","48.81","43.05","48.61","358,654,293"
10/29/2021,"43.20","43.83","42.57","43.74","123,223,671"
10/22/2021,"41.45","43.19","41.04","43.16","101,006,388"
10/15/2021,"42.45","42.62","40.94","41.49","97,552,832"
10/08/2021,"42.93","43.35","41.69","42.45","111,289,853"
10/01/2021,"43.92","44.13","41.70","42.93","126,100,941"
09/24/2021,"43.39","44.73","43.39","43.94","124,005,270"
09/17/2021,"45.74","45.83","43.31","43.89","168,705,940"
09/10/2021,"46.99","47.50","45.51","45.59","84,573,300"
09/03/2021,"46.20","47.16","45.42","46.84","140,206,410"
08/27/2021,"50.29","51.36","46.53","46.60","254,267,040"
08/20/2021,"48.23","51.86","47.51","48.72","288,412,159"
08/13/2021,"45.11","48.57","45.11","48.48","229,531,278"
08/06/2021,"43.30","45.86","43.25","45.07","176,019,900"
07/30/2021,"41.62","43.74","41.39","42.81","163,864,908"
07/23/2021,"40.07","41.83","39.68","41.68","146,675,240"
07/16/2021,"39.66","40.35","39.53","40.35","97,144,741"
07/09/2021,"39.48","40.10","38.93","39.61","81,196,929"
07/02/2021,"39.01","39.83","38.82","39.73","91,622,130"
06/25/2021,"38.88","39.69","38.88","38.98","93,700,260"
06/18/2021,"40.03","40.07","38.70","38.81","120,148,789"
06/11/2021,"39.08","40.72","38.48","40.15","136,815,649"
06/04/2021,"38.94","39.50","38.48","39.15","80,023,078"
05/28/2021,"40.08","40.14","38.60","38.73","125,507,276"
05/21/2021,"40.07","40.60","39.43","39.95","93,865,658"
05/14/2021,"39.83","40.32","39.23","40.02","131,073,878"
05/07/2021,"39.04","41.09","37.96","39.58","264,819,738"
04/30/2021,"38.73","39.00","38.31","38.65","112,780,730"
04/23/2021,"38.60","39.67","38.33","38.66","144,492,849"
04/16/2021,"36.48","38.70","36.33","38.57","165,530,482"
04/09/2021,"36.44","36.81","35.76","36.60","114,569,801"
04/01/2021,"36.03","36.74","35.90","36.30","101,210,619"
03/26/2021,"35.48","36.29","35.25","36.25","129,101,094"
03/19/2021,"35.01","35.97","34.96","35.53","162,567,169"
03/12/2021,"34.48","35.14","34.33","34.94","123,921,481"
03/05/2021,"33.59","35.09","33.44","34.39","180,137,810"
02/26/2021,"34.33","34.37","33.36","33.49","181,601,619"
02/19/2021,"34.85","35.00","34.40","34.44","107,429,200"
02/12/2021,"34.96","35.08","34.28","34.72","147,307,759"
02/05/2021,"35.93","36.19","34.27","34.92","229,016,965"
01/29/2021,"36.55","37.60","35.62","35.90","209,726,910"
01/22/2021,"36.76","37.00","36.15","36.55","128,986,613"
01/15/2021,"37.22","37.83","36.40","36.70","190,745,351"
01/08/2021,"36.87","37.53","36.27","37.13","159,709,424"
